cost,loss,epsilon,ROC,Sens,Spec,ROCSD,SensSD,SpecSD,model
0.001,L2_primal,0.01,0.5958014446601749,0.6927234042553192,0.4225453820770968,0.004438798451690327,0.012261797321846894,0.01203078896690326,L2_Logistic_Regression
0.01,L2_primal,0.01,0.5961849558629629,0.6949217279174726,0.4227903657651429,0.004463556639570913,0.010382661490124465,0.011565616261853543,L2_Logistic_Regression
0.1,L2_primal,0.01,0.5961487250203363,0.6921526756931012,0.42630781373186927,0.004477377188036932,0.009557619648273993,0.01030533522035103,L2_Logistic_Regression
1,L2_primal,0.01,0.5961455598637775,0.6919948420373953,0.42655969111666003,0.004479071820297682,0.00958105690038887,0.010330543479238376,L2_Logistic_Regression
10,L2_primal,0.01,0.596144523927023,0.6920046421663443,0.42654023718590317,0.004478313816057526,0.00953747862755918,0.010310009516349349,L2_Logistic_Regression
100,L2_primal,0.01,0.5961443403774637,0.6920131528046422,0.4265283174870324,0.0044782603563578195,0.009534256918667288,0.01030402227590126,L2_Logistic_Regression
1000,L2_primal,0.01,0.5961443232682857,0.6920131528046422,0.4265283174870324,0.004478275035583973,0.009534256918667288,0.01030402227590126,L2_Logistic_Regression
0.001,L2_primal,0.01,0.5947363837957986,0.6997782076079948,0.411953516784854,0.004223025309668866,0.0121222619552514,0.012257904013436512,L2_Logistic_Regression
0.01,L2_primal,0.01,0.5950744032050826,0.6919061250805931,0.4224911654650525,0.004270001496047626,0.009573521213702474,0.010259715342562948,L2_Logistic_Regression
0.1,L2_primal,0.01,0.5950277427887695,0.6909165699548678,0.42368212427857405,0.004276792045119329,0.007816218557576683,0.008115206664221457,L2_Logistic_Regression
1,L2_primal,0.01,0.5950252262201403,0.6908990328820116,0.42367897526772913,0.004278288553849992,0.00764400658691815,0.007806445707178597,L2_Logistic_Regression
10,L2_primal,0.01,0.5950226331469787,0.6909103803997421,0.4236670514370083,0.004277519156129848,0.00759434781861725,0.007804342848949777,L2_Logistic_Regression
100,L2_primal,0.01,0.595022842305173,0.6909183752417795,0.42366015055871464,0.004277392538424185,0.007587470049493214,0.007799238453572604,L2_Logistic_Regression
1000,L2_primal,0.01,0.5950227139222758,0.6909183752417795,0.42366015055871464,0.004277455861882033,0.007587470049493214,0.007799238453572604,L2_Logistic_Regression
0.001,L2_primal,0.01,0.5935619312706611,0.7023695680206319,0.4062924832891258,0.0045035924924583725,0.012222751200406019,0.011756723121194875,L2_Logistic_Regression
0.01,L2_primal,0.01,0.5939070143736894,0.6911466150870407,0.4226357343743759,0.004508731085456558,0.0077238322741661775,0.008278278094837244,L2_Logistic_Regression
0.1,L2_primal,0.01,0.5939569832837978,0.6917725338491296,0.42192058948121475,0.004495198465822632,0.00683556508539196,0.007214125328597006,L2_Logistic_Regression
1,L2_primal,0.01,0.5939609246061508,0.6919117988394584,0.421741795473814,0.004495237865020286,0.006754471361561074,0.007122638933979183,L2_Logistic_Regression
10,L2_primal,0.01,0.5939622775498716,0.6919213410702773,0.42172767999175204,0.004495035748226185,0.00674931114303006,0.007123062656235496,L2_Logistic_Regression
100,L2_primal,0.01,0.5939620539360437,0.6919213410702773,0.4217270527375573,0.0044951691898725615,0.00674931114303006,0.0071238977219207295,L2_Logistic_Regression
1000,L2_primal,0.01,0.5939620368671618,0.6919213410702773,0.4217270527375573,0.004495227960596676,0.00674931114303006,0.0071238977219207295,L2_Logistic_Regression
0.001,L2_primal,0.01,0.5951999308523388,0.6933263700838169,0.42065741768420034,0.004357207458060335,0.011907007815763584,0.011879171810625705,L2_Logistic_Regression
0.01,L2_primal,0.01,0.595566419833753,0.69225944551902,0.42473008025233405,0.0043280967538170895,0.010543034394600937,0.012278831592745777,L2_Logistic_Regression
0.1,L2_primal,0.01,0.595530564458602,0.6907922630560929,0.42627835555907967,0.004335292253497389,0.009657877149304793,0.010396304128119377,L2_Logistic_Regression
1,L2_primal,0.01,0.5955278660625125,0.6909720180528691,0.4259471339618599,0.004334979755812816,0.009269413259000837,0.009765744782168293,L2_Logistic_Regression
